Source Labware,Source Well,Volume (ul),Dest Labware,Dest Well,Source Height,Dest Top,Mix Volume,Flow Aspirate,Flow Dispense,Air Gap,Tip Action
tube_rack_96_1500ul_1,A1,12,384_ldv_12ul_3,A1,4,-0.5,0,1,1,20,keep
tube_rack_96_1500ul_1,A1,12,384_ldv_12ul_3,B1,4,-0.5,0,1,1,20,keep
tube_rack_96_1500ul_1,A1,12,384_ldv_12ul_3,A2,4,-0.5,0,1,1,20,keep
tube_rack_96_1500ul_1,A1,12,384_ldv_12ul_3,B2,4,-0.5,0,1,1,20,keep
tube_rack_96_1500ul_1,A1,12,384_ldv_12ul_3,A3,4,-0.5,0,1,1,20,keep
tube_rack_96_1500ul_1,A1,12,384_ldv_12ul_3,B3,4,-0.5,0,1,1,20,keep
tube_rack_96_1500ul_1,A1,12,384_ldv_12ul_3,A4,4,-0.5,0,1,1,20,keep
tube_rack_96_1500ul_1,A1,12,384_ldv_12ul_3,B4,4,-0.5,0,1,1,20,keep
tube_rack_96_1500ul_1,A1,12,384_ldv_12ul_3,A5,4,-0.5,0,1,1,20,keep
tube_rack_96_1500ul_1,A1,12,384_ldv_12ul_3,B5,4,-0.5,0,1,1,20,keep
tube_rack_96_1500ul_1,A1,12,384_ldv_12ul_3,A6,4,-0.5,0,1,1,20,keep
tube_rack_96_1500ul_1,A1,12,384_ldv_12ul_3,B6,4,-0.5,0,1,1,20,keep
tube_rack_96_1500ul_1,A1,12,384_ldv_12ul_3,A7,4,-0.5,0,1,1,20,keep
tube_rack_96_1500ul_1,A1,12,384_ldv_12ul_3,B7,4,-0.5,0,1,1,20,keep
tube_rack_96_1500ul_1,A1,12,384_ldv_12ul_3,A8,4,-0.5,0,1,1,20,keep
tube_rack_96_1500ul_1,A1,12,384_ldv_12ul_3,B8,4,-0.5,0,1,1,20,keep
tube_rack_96_1500ul_1,A1,12,384_ldv_12ul_3,A9,4,-0.5,0,1,1,20,keep
tube_rack_96_1500ul_1,A1,12,384_ldv_12ul_3,B9,4,-0.5,0,1,1,20,keep
tube_rack_96_1500ul_1,A1,12,384_ldv_12ul_3,A10,4,-0.5,0,1,1,20,keep
tube_rack_96_1500ul_1,A1,12,384_ldv_12ul_3,B10,4,-0.5,0,1,1,20,keep
tube_rack_96_1500ul_1,A1,12,384_ldv_12ul_3,A11,4,-0.5,0,1,1,20,keep
tube_rack_96_1500ul_1,A1,12,384_ldv_12ul_3,B11,4,-0.5,0,1,1,20,keep
tube_rack_96_1500ul_1,A1,12,384_ldv_12ul_3,A12,4,-0.5,0,1,1,20,keep
tube_rack_96_1500ul_1,A1,12,384_ldv_12ul_3,B12,4,-0.5,0,1,1,20,keep
tube_rack_96_1500ul_1,A1,12,384_ldv_12ul_3,A13,4,-0.5,0,1,1,20,keep
tube_rack_96_1500ul_1,A1,12,384_ldv_12ul_3,B13,4,-0.5,0,1,1,20,keep
tube_rack_96_1500ul_1,A2,12,384_ldv_12ul_3,A14,4,-0.5,0,1,1,20,keep
tube_rack_96_1500ul_1,A2,12,384_ldv_12ul_3,B14,4,-0.5,0,1,1,20,keep
tube_rack_96_1500ul_1,A2,12,384_ldv_12ul_3,A15,4,-0.5,0,1,1,20,keep
tube_rack_96_1500ul_1,A2,12,384_ldv_12ul_3,B15,4,-0.5,0,1,1,20,keep
tube_rack_96_1500ul_1,A2,12,384_ldv_12ul_3,A16,4,-0.5,0,1,1,20,keep
tube_rack_96_1500ul_1,A2,12,384_ldv_12ul_3,B16,4,-0.5,0,1,1,20,keep
tube_rack_96_1500ul_1,A2,12,384_ldv_12ul_3,A17,4,-0.5,0,1,1,20,keep
tube_rack_96_1500ul_1,A2,12,384_ldv_12ul_3,B17,4,-0.5,0,1,1,20,keep
tube_rack_96_1500ul_1,A2,12,384_ldv_12ul_3,A18,4,-0.5,0,1,1,20,keep
tube_rack_96_1500ul_1,A2,12,384_ldv_12ul_3,B18,4,-0.5,0,1,1,20,keep
tube_rack_96_1500ul_1,A2,12,384_ldv_12ul_3,A19,4,-0.5,0,1,1,20,keep
tube_rack_96_1500ul_1,A2,12,384_ldv_12ul_3,B19,4,-0.5,0,1,1,20,keep
tube_rack_96_1500ul_1,A2,12,384_ldv_12ul_3,A20,4,-0.5,0,1,1,20,keep
tube_rack_96_1500ul_1,A2,12,384_ldv_12ul_3,B20,4,-0.5,0,1,1,20,keep
tube_rack_96_1500ul_1,A2,12,384_ldv_12ul_3,A21,4,-0.5,0,1,1,20,keep
tube_rack_96_1500ul_1,A2,12,384_ldv_12ul_3,B21,4,-0.5,0,1,1,20,keep
tube_rack_96_1500ul_1,A2,12,384_ldv_12ul_3,A22,4,-0.5,0,1,1,20,keep
tube_rack_96_1500ul_1,A2,12,384_ldv_12ul_3,B22,4,-0.5,0,1,1,20,keep
tube_rack_96_1500ul_1,A2,12,384_ldv_12ul_3,A23,4,-0.5,0,1,1,20,keep
tube_rack_96_1500ul_1,A2,12,384_ldv_12ul_3,B23,4,-0.5,0,1,1,20,keep
tube_rack_96_1500ul_1,A2,12,384_ldv_12ul_3,A24,4,-0.5,0,1,1,20,keep
tube_rack_96_1500ul_1,A2,12,384_ldv_12ul_3,B24,4,-0.5,0,1,1,20,keep
